"","FLF-a","FLF-b","FLF-c","iL3a-a","iL3a-b","iL3a-c","iL3-a","iL3-b","iL3-c","pfL1-a","pfL1-b","pfL1-c","ppL1-a","ppL1-b","ppL1-c","ppL3-a","ppL3-b","ppL3-c","PF-a","PF-b","PF-c","FLM-a","FLM-b","FLM-c"
"SSTP_0000386700",2.80685929386104,3.26223927683228,3.08951509565167,6.56439788888138,6.37622781524167,6.41730074342932,7.16792277346021,7.58020783812629,7.43175645783097,6.84874183165994,6.66358465117344,6.60903418085724,5.95850347889871,6.06000357724062,5.93517388231986,4.49215602688772,4.81722711643122,4.43208687684825,1.47897869565206,1.52829121926132,1.36005236360181,4.58088231683915,3.96298827089651,4.18223918381739
"SSTP_0000386800",-1.6826119060673,-0.869899113363635,-1.3046801301431,0.0173892860655389,-0.678559009244087,-0.187728110522449,1.93133223787912,1.17295226454122,1.41822126242571,2.8445057851591,3.63892562309653,3.70006600429711,3.61742565110188,3.24098875406764,2.610895043993,3.20803273629497,3.10225999965178,3.85805594050136,-3.23825993529322,-3.68500087914811,-3.09207515865045,-0.066750469799379,-1.48923464025162,-1.36913497904031
"SSTP_0000386900",3.36888502869925,3.45399071479896,3.68105915998754,3.30065742823696,3.62201277800721,3.52219165583109,3.77630719997771,4.04423573394129,3.55581615510218,4.69822615327718,4.61783683179786,4.6945342777336,4.4496277800513,5.11071689280869,4.81189870543563,4.47733414619442,4.91325686162545,4.37885489017483,0.466014290935126,0.559454021470093,0.891973379027886,4.38671676109277,3.49498778650755,4.11647198027639
"SSTP_0000387000",6.07579688626121,6.03337336074567,5.9880586404573,6.27048944781001,6.22116849222043,6.29375010664051,5.96903151016727,6.34279340196539,6.37052304012915,5.67348391804744,5.77617159497938,5.71283505031512,6.06785201555093,5.88013252531889,5.81554428871579,5.34444384478112,5.42804181710555,5.44555374815172,6.32019608352854,6.47064273375207,6.47100262490215,5.72698868563424,6.28485420630954,5.90540836553371
"SSTP_0000387100",10.1292500542765,9.91597764917314,9.72343194730439,8.490559142728,8.40939660634023,8.3916277214807,7.59976279221257,7.57073195749063,7.35536257266002,9.75432363041445,9.79970059609998,9.77505071906107,10.2898538113603,10.3062731664968,10.1754837048961,10.0193110688213,10.1825357974679,9.98809463410587,9.09794167456518,9.33151604843391,9.3080199859284,9.21612135778099,8.99768630334566,9.2558369577301
"SSTP_0000387200",13.5547455087842,13.572354691123,13.3533088450206,12.1087760231285,12.0970912569361,12.1175304922055,11.3897980405367,11.3464413024834,11.1023345352244,13.7699585478287,13.8337706307105,13.7866727041539,14.3235038837203,14.4083553326766,14.3495367703945,13.8827766100698,14.1563079575954,13.9676189991548,12.4492401554227,12.699190852888,12.7408449158773,13.1054856803386,12.5737192385073,12.8943002849844
"SSTP_0000387300",6.46337466816088,6.45260807517418,6.47038276559137,6.55140218496644,6.44209509156259,6.57005063255196,5.15838680472147,5.59065014924353,5.73886111805904,5.71721877196594,5.6982635400527,5.61926656429273,5.82015785749755,5.75005514724225,5.81724119998075,5.70430539747509,5.67820723392013,5.77551641963804,6.3765457226004,6.7013877190679,6.81875072637657,6.25593700323779,6.51491084352088,6.36391494195193
"SSTP_0000387400",6.41056043538927,6.31195736171304,6.31385807958884,5.94717287852053,5.86565368942739,6.01597802004069,4.70214134403513,5.12502331106382,5.25647502409278,5.14801088253513,5.20182076962158,5.09496027139295,5.36771177716063,5.30450036443384,5.41307122316767,5.55642419837531,5.43743795097411,5.5261025934458,5.73134517727466,5.9558974388061,5.94665741270206,6.2023080607949,6.69218546083889,6.63750724516635
"SSTP_0000387500",3.75488128212679,3.36449855252689,3.8215214254513,3.23665150216071,3.12887904352126,3.33774444672688,4.05443442773721,5.03166734094252,4.72042050938823,4.17628653629971,4.38801539196467,4.38584433327716,4.27740171069483,4.10350124102342,4.32625594740026,2.12939607642807,2.3673619533619,2.15361593906402,2.17133208901639,2.45379248412778,2.56268396616671,0.621565538633635,0.7968565725587,1.01092998661679
"SSTP_0000387600",6.13324593206543,6.10238914503962,5.95795740225889,5.1754477424305,5.23952870693113,5.26930899333948,3.87298888141638,4.45991638129594,4.90746019600911,4.44226767485747,4.7238523685551,4.64935123629944,6.10649541822777,5.95209147829609,5.91335416827041,5.92927551975524,5.86626463717852,5.87890929607015,5.8660443698575,6.17334987102065,6.16269525238827,4.64399333185689,4.5117712284007,4.60693318209114
