"","FLF-a","FLF-b","FLF-c","PF-a","PF-b","PF-c"
"SVE_0000944350",-2.53482774667206,-3.07316408715198,-0.785071889299363,-2.57703795518546,-2.5939702607916,-1.60995025694015
"SVE_0000962850",0.16130379859592,-1.17051641514194,0.0673495894653649,-1.75391921288967,-1.48628086048775,-0.751352570387873
"SVE_0000995250",1.3243618135317,0.893052471290022,1.17855400780598,0.745378741962128,1.12740066134609,1.30567620064809
"SVE_0001000",4.05981443589215,3.92681467059355,3.24584259356378,2.86462285377233,2.88219196734986,3.12694331341933
"SVE_0001000100",-2.83626908573277,-0.811761817336559,-4.48228955290744,-3.5937222290721,-3.17152245526193,-3.98586653820236
"SVE_0001000500",-3.02726298120622,-3.97272927641257,-4.10328833261467,-2.42754341544334,-2.36979885486344,-3.23051356469186
"SVE_0001100",-2.46485950406345,-3.6782063587253,-2.72685329882925,-1.38640365596266,-0.780851183654785,-1.44852977964009
"SVE_0001133000",-2.74614730857425,-3.5304072524698,-2.63182771789237,-3.20299472917243,-3.19611414161303,-3.27530005214001
"SVE_0001133600",6.87105382543014,8.03330143966607,6.17035817606879,7.52550873911911,8.94214085721998,8.43647583345487
"SVE_0001200",1.87150432956128,0.531571675945469,-0.608223398991155,2.90202685685744,3.01888571983275,2.48741711301693
"SVE_0001300",2.1043186763646,2.23947716465981,2.58454005393679,0.921631674153096,0.470593560245651,1.66474503092196
"SVE_0001400",-2.02936767725368,-3.25304696471485,-3.29421410781695,-3.16465363560317,-1.75681212778613,-2.40178865281923
"SVE_0001500",4.08860228014633,4.50127586866645,4.19828636625808,4.83305259657102,4.84233227901301,4.9234199184917
"SVE_0001600",3.04791869391254,0.857725149085009,2.5774733831494,1.24749630494875,0.662644064316203,0.92307477214642
"SVE_0001800",0.106327049902369,0.288738043183205,0.928481700814013,-1.60150785709106,-0.934909115598559,-0.980739825738889
"SVE_0001900",-2.3267904032384,-3.30804757467472,-3.30498778836275,-3.95128193261145,-1.7351001563372,-3.98591456504437
"SVE_0002000",9.01695256044037,8.71813595204314,7.98157336456323,7.634851568755,7.9225562082663,7.87375393493218
"SVE_0002100",-0.433356277257302,-0.880090685578991,-0.583245650131908,-2.53795052350797,-3.12223076085964,-3.98591459827962
"SVE_0002200",7.90219574437343,8.21032403158498,7.79385123136675,7.18322023159133,6.98788819157522,6.94117473087764
"SVE_0002300",1.15478426025489,2.03269666644561,1.57201255532823,1.52847460265744,1.3629298502836,1.55791672824
"SVE_0002400",-1.38029405942732,-0.639840392148308,-1.21632451253565,-1.0915550747945,-0.601464453936597,-0.527036139048578
"SVE_0002500",3.26919297873362,3.8623357567613,2.52652703473014,3.51080098557793,3.83681793848489,3.94908470999819
"SVE_0002600",3.05821135679652,3.76377837453507,3.3541255842949,3.90683884963235,3.74939966666335,3.49969126164103
"SVE_0002700",5.88302599858162,6.30890756703766,5.42254956382411,6.789620073196,6.92887974679987,6.87499605061472
"SVE_0002800",0.0423812693672449,-0.521519736327399,0.85051558757567,-1.5711436018659,-2.5273587878292,-0.757374271265144
"SVE_0002900",2.29748667135391,2.70213079538838,1.17083405811154,1.59275577629529,1.88976762162172,1.4718911961846
"SVE_0003000",-2.77607393840099,-2.50535508279894,-2.73543835516424,-2.42546755082668,-3.12091909900549,-3.98591473899194
"SVE_0003100",2.54303538015458,2.54396537246931,2.37247113253237,3.34270407968057,3.31905331108065,3.61657130454713
"SVE_0003200",0.809734730381032,0.93427594692824,0.31705404330108,1.36131536404596,1.32664623061612,1.06988409692276
"SVE_0003300",7.27215128643721,7.42209909482614,6.70615557596851,6.54007909242523,7.227520170831,7.14380195469261
"SVE_0003400",4.0350181369951,4.12186082070042,4.02961772438277,4.21597962376864,3.8514169590721,3.95864391320059
"SVE_0003500",0.82307436725359,0.462810816491079,0.0912866089471853,1.61463957931637,1.53965995642348,1.60859438200109
"SVE_0003600",3.04607751189381,3.85968488758289,2.56056636693913,3.58988190521437,3.70395799756315,3.19426061276678
"SVE_0003700",-1.89792456942729,-5.61461544401726,-2.73922708840739,-1.62347118656304,-0.670821956274894,-0.973389729188969
"SVE_0003800",5.93884709986287,8.22450320506437,7.97449334041241,0.18645485740558,0.592659111342675,0.17761781707395
"SVE_0003900",-1.09932091209564,-4.84272682636228,0.112352772247051,-0.868930885401206,-0.588861727201991,-1.58715329994417
"SVE_0004100",0.10708941038363,-0.350955225039315,0.271869412183008,-1.60794463030882,-2.52159755160285,-0.799644137690919
"SVE_0004200",-1.49066105019282,-4.82326821710788,-1.88636704001298,-1.08167954215778,-1.42320073146722,-0.727578865032499
"SVE_0004300",5.33638876707354,5.08144370348104,4.75723885667053,5.42666334467696,5.92428100989095,5.9683013857711
"SVE_0004400",4.27539216111387,3.58496586532047,3.94536617230381,4.64017176736979,4.59508541522226,4.62249199820454
"SVE_0004500",3.29204362492093,2.15622780734388,1.23714453963315,10.838459831203,11.7554447676748,12.0739692007901
"SVE_0004600",-2.61337695819531,-5.61461360615398,-2.7419372376096,-0.442355164902041,-0.791753131515665,-1.23973962888152
"SVE_0004700",-5.35059553060907,-4.82457001260124,-5.29860121483787,-1.16256493850481,-0.382013908872643,-1.08938652304098
"SVE_0004900",0.0447942309062954,0.666356216549365,-0.317883201435007,-2.56391840547413,-3.14799882851928,-2.6205172891977
"SVE_0005000",1.617157698222,2.41922833129011,0.54909986159031,-2.5767843464387,-1.37760178131835,-2.58280910172451
"SVE_0005100",5.03350212136553,6.23863868518704,4.20283289150322,6.73860411566905,6.65745024439822,6.90177518639473
"SVE_0005200",3.153314053506,2.88853392770025,3.36450636771876,7.20617397185268,7.34396676833518,7.48834435786121
"SVE_0005300",-1.76956768870281,-2.73084152385564,-4.50128889478984,5.40549279212346,5.37444699319707,5.39257428446509
"SVE_0005400",-5.35059553060907,-5.61455093121397,-5.29860121483787,-1.05075260593872,-1.36219377219586,-1.22394341617735
"SVE_0005500",-2.8210349219769,-0.208447431126956,-5.29870281274024,-0.291056528036386,-0.144727003462603,-0.0816023687124138
"SVE_0005600",5.3853934464574,5.22674566126265,6.10042417775841,6.26964602805813,5.6767346707599,5.76921147627647
"SVE_0005700",3.0690659144644,0.947334336498179,4.27338949792325,2.64057798305707,2.42148313239409,2.48291356823289
"SVE_0005800",6.52199289851684,6.250355538299,6.39178732066857,6.98623239097296,7.06574534015007,7.04115691845465
"SVE_0005900",0.527247166237485,-0.444194918678906,0.743824952225657,0.995963643672457,0.694607388930201,0.957317646953425
"SVE_0006000",5.50226335058948,5.59763659698772,5.47687205062154,5.61246548151093,5.12454363766303,5.28276560980747
