"","geneID","FLM-ERR225783","iL3-ERR225784","PF-ERR299168","PF-ERR299169","PF-ERR299170","FLF-ERR299171","FLF-ERR299172","FLF-ERR299173","PF-ERR299174","PF-ERR299175","PF-ERR299176","FLF-ERR299177","FLF-ERR299178","FLF-ERR299179"
"791","SRAE_X000600105",0.00388940373418318,0.0856162241411938,0.00402544422296763,0.00668389658348323,0,0.00842418214751807,0.0122165309104775,0,0.00766602754401449,0,0,0.0142524849933081,0.00838719674429855,0.0072962596131207
"792","SRAE_X000600106",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"793","SRAE_X000600107",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"794","SRAE_X000600108",0.00381320184812922,0.0683529310411205,0,0,0,0.0192417979061626,0.00509592917982464,0,0,0,0.00568022755933519,0.00870770315421485,0.013118804406867,0
"795","SRAE_X000600109",0.00381320184812922,0.0683529310411205,0,0,0,0.0192417979061626,0.00509592917982464,0,0,0,0.00568022755933519,0.00870770315421485,0.013118804406867,0
"796","SRAE_X000600110",0.00381320184812922,0.0683529310411205,0,0,0,0.0192417979061626,0.00509592917982464,0,0,0,0.00568022755933519,0.00870770315421485,0.013118804406867,0
"797","SRAE_X000600111",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"798","SRAE_X000600113",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"799","SRAE_X000600114",0.00379320871786216,0.0271174879461254,0,0.00369415667884836,0.0031540062926645,0.004746718770614,0.00259013329960948,0,0,0,0,0,0.00237533508879227,0
"800","SRAE_X000600115",0,0,0,0,0,0,0,0,0,0,0,0,0.00240181427704804,0
"801","SRAE_X000600116",0.0378766453558476,0.0164368702219215,0,0.00479696755736416,0,0.00605156455008453,0.00636878303176986,0.00612266921586415,0,0,0,0.00545411212042729,0,0.00559817855859075
"802","SRAE_X000600117",0,0.289353754016608,0.0195458576435931,0.0264714819417804,0.019970957166248,0.0156644398083707,0.00414852217317832,0,0.011658520464104,0.00774680245677291,0.0277450579677672,0.0141775556664669,0.0128157715472504,0.0584082731502899
"803","SRAE_X000600118",0.0430457214040994,0.154321835567121,0,0,0,0,0,0,0,0,0,0,0.0296185857136334,0
"804","SRAE_X000600119",0.0140861953242974,0,0,0,0,0.0168622280067262,0.00482368404366934,0.00743806531654652,0,0,0,0.00724402278526284,0.0102040903010705,0
"805","SRAE_X000600120",0.202113753620131,0,0,0.0050233173992076,0,0.00633128595411756,0.0122419349526313,0.0113853669711103,0,0.00553882586194492,0.00360314334441457,0.0321347655439149,0.00945520386738353,0.00548358469491937
"806","SRAE_X000600121",0,0.152322318331552,0,0,0.0354328333497226,0,0,0,0,0,0,0.0482439161766963,0.0582218980986636,0
"807","SRAE_X000600122",0,0,0,0,0,0,0,0,0,0,0.0067442022714537,0,0,0.0103203861559338
"808","SRAE_X000600123",0,0.0241368673749596,0,0,0,0.0113997393358298,0.00551050184821145,0,0,0,0,0,0,0
"809","SRAE_X000600126",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"810","SRAE_X000600127",0.0140861953242974,0,0,0,0,0.0168622280067262,0.00482368404366934,0.00743806531654652,0,0,0,0.00724402278526284,0.0102040903010705,0
"811","SRAE_X000600128",0.0723333937894285,0.0211094261338025,0.00397002546452832,0,0.00507796845455521,0.0249246624781461,0.0120483445096745,0,0.00756048845189967,0,0.00472823237965581,0.00702811168289305,0.0082717292319919,0.014391622318167
"812","SRAE_X000600129",0.0104678997673909,0,0,0,0,0.00440183388666904,0.00430437761961734,0.00412905860187494,0.00218409159827962,0.00401892245316131,0.005197707777755,0.00398400874922216,0.00240088867258668,0.00410331731274783
"813","SRAE_X000600130",0,0,0.026287195856379,0.0358178877516236,0.0109501392230111,0.0329967439151405,0.0704824329023064,0.0357171362145566,0.0486040662346726,0.0173789544700974,0.0228029704064771,0.0305543424905608,0.0441424690684193,0.0247577809205131
"814","SRAE_X000600131",0.081725680581372,0.057827349124177,0.0270832762785802,0.0229247317822242,0.047561555845828,0.0542624165992825,0.0251487984927699,0.0068926913988325,0.0134619532341547,0.0402531845292914,0.0320368625966576,0.0184169760007163,0.0332959326111437,0.0252913604446543
"815","SRAE_X000600132",0.0546620928631928,0,0.0129745336834528,0,0.0183458044148353,0.0654348022374273,0.0149748367147734,0.0230909827357121,0.00627069311926347,0,0.0162762801219737,0.0224886923110285,0.0158389974699845,0.0275239860270602
"816","SRAE_X000600133",0,0,0,0,0,0.0100556902042891,0.00532624569067704,0,0,0.00994603643472147,0,0,0,0
"817","SRAE_X000600134",0,0.0284806070389746,0,0,0,0,0,0,0,0,0,0,0,0
"818","SRAE_X000600136",0,0.227266874848423,0.00463063546468996,0,0.00574408502170599,0.0088857112061576,0.00941306776166521,0.00967464551704817,0,0.0087888007328215,0,0.0160845554941198,0.00969305245586351,0.024849351284367
"819","SRAE_X000600137",0.081725680581372,0.057827349124177,0.0270832762785802,0.0229247317822242,0.047561555845828,0.0542624165992825,0.0251487984927699,0.0068926913988325,0.0134619532341547,0.0402531845292914,0.0320368625966576,0.0184169760007163,0.0332959326111437,0.0252913604446543
"820","SRAE_X000600138",0,0.289353754016608,0.0195458576435931,0.0264714819417804,0.019970957166248,0.0156644398083707,0.00414852217317832,0,0.011658520464104,0.00774680245677291,0.0277450579677672,0.0141775556664669,0.0128157715472504,0.0584082731502899
"821","SRAE_X000600139",0.00381320184812922,0.0683529310411205,0,0,0,0.0192417979061626,0.00509592917982464,0,0,0,0.00568022755933519,0.00870770315421485,0.013118804406867,0
"822","SRAE_X000600140",0,0.11690246899814,0.00684387932191344,0,0,0,0.0217886961447295,0.0139341549685202,0.0136071910129477,0.0135625040770631,0,0.0124104482196936,0.0149578564624697,0
"823","SRAE_X000600141",0,0.0217840607129952,0.00382593573875437,0,0,0.00766543047847206,0,0,0,0.0151637083012077,0,0,0.00418095680396048,0
"824","SRAE_X000600142",0,0.155869900912376,0.0205315843096253,0.0173790508505123,0.00874090503073345,0.0274240017060816,0.00726289602391311,0.0209012022145073,0.00680359298565484,0,0.0242868885366544,0.012410443621464,0.0299157018407858,0.0255642133835897
"825","SRAE_X000600143",0,0.0217840607129952,0.00382593573875437,0,0,0.00766543047847206,0,0,0,0.0151637083012077,0,0,0.00418095680396048,0
